,Label,Question,Answer
,taxonomy,What is the goal of social protection,The goal of social protection is to reduce individual and households' vulnerability to poverty and deprivation as a way to reduce risk
,factual,What did Davies et al propose in 2008,"In 2008, Davies et al proposed the notion of adaptive social protection and argued for the integration of social protection, climate change adaptation, and disaster risk reduction, with social protection having a primary role in addressing the structural causes of poverty as part of these joint efforts"
,ethics and regulation,What is the framework proposed by Kuriakose et al 2013 in regard to climate change,"Kuriakose et al 2013 proposed a framework of “climate-responsive social protection” which could provide ex-ante security against, and ex-post response to climate shocks, as well as support long-term climate change adaptation"
,ethics and regulation,"What are the implications of climate change for social protection, according to analysts and practitioners","Scholars and practitioners have explored the role of social protection as a policy response for responding to covariate shocks – some of which originate from climate hazards – and facilitating climate change adaptation, mitigation and climate resilience"
,ethics and regulation,How does conceptual gap in exploring climate change risks affect social protection schemes,"The conceptual gap in exploring climate change risks can lead to policy and programmatic gaps, where the design of social protection schemes are overly focused on one risk and overlook important considerations that relate to other risks, such as slow onset events or risks arising from climate change responses"
,ethics and regulation,How have social policy scholars in high-income countries explored risk arising from climate change,Social policy scholars in high-income countries have explored how risks arising from climate change overlap with those traditionally addressed by social policy
,ethics and regulation,What are the shared roots between the social protection and the welfare state of LMICs,"The shared roots between the social protection and the welfare state of LMICs are the larger body of social policy and the welfare state in Europe Jawad, 2019"
,ethics and regulation,How have the risks of climate change affected traditional social policies,"The risks of climate change have altered the nature of social policy-related risks in direct and indirect ways Johansson et al, 2016 They are “quantitatively and qualitatively different” from the “traditional” risks which in the past have fostered the emergence of social policy responses eg, income-risks emerging from industrial transformation and or globalization Gough et al, 2008, p 327"
,ethics and regulation,What is the concept of climate risk,The concept of climate risk has evolved significantly over the last two decades and is increasingly recognizing vulnerability as a key factor
,factual,What was the primary factor taken into consideration when initially understanding climate change,"Initially, climate change was primarily understood as a one-directional increase in climate hazards IPCC, 2001"
,factual,What factors became central to climate impacts as they started to be observed,"Vulnerability factors gradually became central to climate impacts as they started to be observed van Aalst et al, 2008"
,ethics and regulation,What is the definition of vulnerability,"Vulnerability is understood in this paper as the propensity or predisposition to be adversely affected, including sensitivity or susceptibility to harm and lack of capacity to cope and adapt"
,factual,How can human processes interact with climate change to increase risk,"Human processes that are not climate-specific can interact with climate change to increase risk, for instance, policies or measures that increase or decrease individual and household vulnerability and exposure"
,ethics and regulation,What is meant by the term vulnerability in the social protection literature,"A In social protection literature, the terms “vulnerability” and “vulnerable groups” refer primarily to categorical factors that produce vulnerability, such as gender, disability, age, etc"
,analysis,"How ecosystems and biodiversity can affect hazards, exposure and vulnerability?","For the sake of simplicity, ecosystems and their biodiversity are not considered in this paper, as their influence on human vulnerability is primarily mediated by human systems"
,taxonomy,What does the term slow-onset events refer to in the climate change literature,"In the climate change literature, the term slow-onset events refer to the risks and impacts associated with increasing temperature means, desertification, decreasing precipitation, loss of biodiversity, land and forest degradation, glacial retreat and related"
,taxonomy,What are the key risks in the social protection literature,"The key risks in the social protection literature include social and life-cycle risks, and income and livelihoods risks"
,strategy,How does a comprehensive risk perspective connect climate change and social policy solutions,A comprehensive risk perspective that recognises vulnerability as a crucial factor in increasing climate risks connects climate change directly with social policy solutions such as social protection
,ethics and regulation,What types of risks are referred to in social protection,"Social risks, such as ill health, disability, maternity, unemployment and old age, and more recent risks such as obsolete skills and risks unique to single-headed households are referred to in social protection"
,ethics and regulation,What are the primary aims of social protection in LMICs,"The primary aims of social protection in LMICs are to reduce the impacts of risks within the socioeconomic sphere, such as poverty and deprivation, food insecurity, erosion of living standards, inequality and social exclusion, and to address vulnerability to these risks caused by a lack of sufficient income"
,ethics and regulation,What are the two ways in which social protection influences household incomes,The two ways in which social protection influences household incomes are income maintenance and income subsidisation
,ethics and regulation,What is income maintenance intended to do,"Income maintenance is intended to prevent financial hardship and protect basic levels of consumption, especially in the face of adversity, acting as a “safety net” for households"
,ethics and regulation,What is the goal of income subsidisation,The goal of income subsidisation is to structurally decrease vulnerability by providing income that facilitates investments in human and productive assets and strengthens people's agency
,ethics and regulation,What risks are usually prioritised by social protection schemes,"Social protection schemes usually prioritise idiosyncratic risks, ie those that affect individuals or households one at a time, such as illness"
,ethics and regulation,What are the functions of Social Assistance schemes,Social Assistance schemes have the function of providing income maintenance and subsidization
,ethics and regulation,What is an example of a Social Insurance scheme,"An example of a Social Insurance scheme would be South Africa's Unemployment Insurance Fund, which provides benefits in case of job loss, maternity, or illness"
,ethics and regulation,What are the implications of climate change for social protection risks,The implications of climate change for social protection risks include increasing people's vulnerability and the need and demand for social protection programs
,ethics and regulation,How does Argentina's Continuing Education Programme promote training of workers,Argentina's Continuing Education Programme promotes training of workers as a tool to gain access to decent and quality jobs and improving competitiveness
