Question,Answer,Label
What is the goal of social protection,The goal of social protection is to reduce individual and households' vulnerability to poverty and deprivation as a way to reduce risk,others
What did Davies et al propose in 2008,"In 2008, Davies et al proposed the notion of adaptive social protection and argued for the integration of social protection, climate change adaptation, and disaster risk reduction, with social protection having a primary role in addressing the structural causes of poverty as part of these joint efforts",others
What is the framework proposed by Kuriakose et al 2013 in regard to climate change,"Kuriakose et al 2013 proposed a framework of “climate-responsive social protection” which could provide ex-ante security against, and ex-post response to climate shocks, as well as support long-term climate change adaptation",ethics and regulation
"What are the implications of climate change for social protection, according to analysts and practitioners","Scholars and practitioners have explored the role of social protection as a policy response for responding to covariate shocks – some of which originate from climate hazards – and facilitating climate change adaptation, mitigation and climate resilience",ethics and regulation
How does conceptual gap in exploring climate change risks affect social protection schemes,"The conceptual gap in exploring climate change risks can lead to policy and programmatic gaps, where the design of social protection schemes are overly focused on one risk and overlook important considerations that relate to other risks, such as slow onset events or risks arising from climate change responses",ethics and regulation
How have social policy scholars in high-income countries explored risk arising from climate change,Social policy scholars in high-income countries have explored how risks arising from climate change overlap with those traditionally addressed by social policy,ethics and regulation
What are the shared roots between the social protection and the welfare state of LMICs,"The shared roots between the social protection and the welfare state of LMICs are the larger body of social policy and the welfare state in Europe Jawad, 2019",ethics and regulation
How have the risks of climate change affected traditional social policies,"The risks of climate change have altered the nature of social policy-related risks in direct and indirect ways Johansson et al, 2016 They are “quantitatively and qualitatively different” from the “traditional” risks which in the past have fostered the emergence of social policy responses eg, income-risks emerging from industrial transformation and or globalization Gough et al, 2008, p 327",ethics and regulation
What is the concept of climate risk,The concept of climate risk has evolved significantly over the last two decades and is increasingly recognizing vulnerability as a key factor,ethics and regulation
What was the primary factor taken into consideration when initially understanding climate change,"Initially, climate change was primarily understood as a one-directional increase in climate hazards IPCC, 2001",others
What factors became central to climate impacts as they started to be observed,"Vulnerability factors gradually became central to climate impacts as they started to be observed van Aalst et al, 2008",others
What is the definition of vulnerability,"Vulnerability is understood in this paper as the propensity or predisposition to be adversely affected, including sensitivity or susceptibility to harm and lack of capacity to cope and adapt",ethics and regulation
How can human processes interact with climate change to increase risk,"Human processes that are not climate-specific can interact with climate change to increase risk, for instance, policies or measures that increase or decrease individual and household vulnerability and exposure",others
